theta,theta_dot,torque_action,reward,next_theta,next_theta_dot,terminal
0.35,0.0,-2.0,-0.16533788852865433,0.35338356912518876,0.06767138250377866,0
0.35338356912518876,0.06767138250377866,-2.0,-0.171684512217381,0.3602645895895624,0.13762040928747327,0
0.3602645895895624,0.13762040928747327,-2.0,-0.18182350923027432,0.370731129843338,0.20933080507551638,0
0.370731129843338,0.20933080507551638,-2.0,-0.1964325938162376,0.3850332314921667,0.2860420329765735,0
0.3850332314921667,0.2860420329765735,-2.0,-0.21638037817614234,0.4034681418027537,0.3686982062117381,0
0.4034681418027537,0.3686982062117381,-2.0,-0.24306035183949518,0.42647752644954995,0.4601876929359213,0
0.42647752644954995,0.4601876929359213,-2.0,-0.27819575998239304,0.45456822341611947,0.5618139393313942,0
0.45456822341611947,0.5618139393313942,-2.0,-0.32392585606730223,0.48829337555085806,0.6745030426947752,0
0.48829337555085806,0.6745030426947752,-2.0,-0.3833981587778292,0.5283648081182202,0.80142865134724,0
0.5283648081182202,0.80142865134724,-2.0,-0.46075074529506976,0.5756382942187739,0.9454697220110759,0
0.5756382942187739,0.9454697220110759,-2.0,-0.5610785275954174,0.6310563455153204,1.108361025930928,0
0.6310563455153204,1.108361025930928,-2.0,-0.6912724068738096,0.6957185619594783,1.2932443288831585,0
0.6957185619594783,1.2932443288831585,-2.0,-0.8598654578336782,0.770832310252417,1.502274965858779,0
0.770832310252417,1.502274965858779,-2.0,-1.0778540134638956,0.8577421047521288,1.7381958899942314,0
0.8577421047521288,1.7381958899942314,-2.0,-1.3584885631537322,0.9578649434607263,2.0024567741719466,0
0.9578649434607263,2.0024567741719466,-2.0,-1.7174633679395592,1.0726377270796066,2.2954556723776096,0
1.0726377270796066,2.2954556723776096,-2.0,-2.1730929315992022,1.2034754020960978,2.616753500329822,0
-0.02435535097935365,-0.09315859227471429,0.34543615528108373,-0.0027920626413413625,-0.028749318330014706,-0.0878793470132245,0
-0.028749318330014706,-0.0878793470132245,0.26450518891023583,-0.0025745156329579624,-0.03315316192825968,-0.0880768719649012,0
-0.03315316192825968,-0.0880768719649012,0.5352517906434159,-0.004826105795206505,-0.03700061417597311,-0.0769490449542716,0
-0.03700061417597311,-0.0769490449542716,0.3346867382321696,-0.003400142620602044,-0.04089738875842919,-0.07793549164912388,0
-0.04089738875842919,-0.07793549164912388,0.4849658664069657,-0.004875409959307436,-0.044563423239578626,-0.07332068962298642,0
-0.044563423239578626,-0.07332068962298642,0.619198943930233,-0.006521625769185314,-0.04775376258773667,-0.06380678696316223,0
-0.04775376258773667,-0.06380678696316223,0.5987193516963696,-0.006470225573729569,-0.05060356867720772,-0.0569961217894235,0
-0.05060356867720772,-0.0569961217894235,0.5507894784421217,-0.006162108364577978,-0.05328974256528074,-0.05372347776146287,0
-0.05328974256528074,-0.05372347776146287,0.3044468275145291,-0.004538162146961811,-0.056518358923977274,-0.06457232717392754,0
-0.056518358923977274,-0.06457232717392754,0.49782116216096844,-0.006520122712964635,-0.05989085477942746,-0.06744991710900718,0
-0.05989085477942746,-0.06744991710900718,0.55926535134763,-0.007592490526822839,-0.063282269020696,-0.0678282848253748,0
-0.063282269020696,-0.0678282848253748,0.4984743974972562,-0.007501183556853771,-0.06694068664076713,-0.07316835240142189,0
-0.06694068664076713,-0.07316835240142189,0.4147980617063257,-0.007513917569262059,-0.07119634206972236,-0.0851131085791074,0
-0.07119634206972236,-0.0851131085791074,0.7471872917659231,-0.011925126540319499,-0.0752969666206007,-0.08201249101756963,0
-0.0752969666206007,-0.08201249101756963,0.8566822037653592,-0.014158040452211168,-0.07906456310494248,-0.07535192968683767,0
-0.07906456310494248,-0.07535192968683767,0.715841217438582,-0.01262131671255176,-0.08297608375408627,-0.07823041298287436,0
-0.08297608375408627,-0.07823041298287436,0.9333197955904371,-0.01672468212079275,-0.08657609553801171,-0.0720002356785078,0
-0.08657609553801171,-0.0720002356785078,0.6308562400247194,-0.012903737876772474,-0.09073352611428165,-0.08314861152539946,0
-0.09073352611428165,-0.08314861152539946,0.7376178667597305,-0.015323813654206363,-0.09524004102592531,-0.09013029823287345,0
-0.09524004102592531,-0.09013029823287345,0.9455187254371595,-0.01966452394304808,-0.0996797033851804,-0.08879324718510018,0
-0.0996797033851804,-0.08879324718510018,0.8931775750641434,-0.019713102048583543,-0.10430529805204136,-0.09251189333722053,0
-0.10430529805204136,-0.09251189333722053,1.0948023515184284,-0.024595010152611674,-0.10873656958962075,-0.08862543075158696,0
-0.10873656958962075,-0.08862543075158696,1.0979346177034341,-0.02559822253933998,-0.11308333997603537,-0.08693540772829672,0
-0.11308333997603537,-0.08693540772829672,1.0066923767344564,-0.02482382804832546,-0.11767299757708694,-0.09179315202103414,0
-0.11767299757708694,-0.09179315202103414,0.927235707416201,-0.024724559969946436,-0.12279330762791796,-0.10240620101662373,0
-0.12279330762791796,-0.10240620101662373,1.0962672718228579,-0.02959238659520226,-0.12815609946632067,-0.10725583676805053,0
-0.12815609946632067,-0.10725583676805053,1.2904213007489427,-0.03554370422234775,-0.13339465549912255,-0.10477112065603918,0
-0.13339465549912255,-0.10477112065603918,1.355553027519769,-0.03859161108751251,-0.13848764716746498,-0.10185983336684422,0
-0.13848764716746498,-0.10185983336684422,1.2277541305934163,-0.03693723195110092,-0.14387843792473554,-0.10781581514541295,0
-0.14387843792473554,-0.10781581514541295,1.0919958055659231,-0.03597921814666125,-0.15007031077634103,-0.12383745703211041,0
-0.15007031077634103,-0.12383745703211041,1.2250649670153666,-0.04146234811163002,-0.1568663600884994,-0.1359209862431716,0
