时间,风速,发电量,风向,气温,空气密度
2023-01-01 00:00:00,9.455889856739597,2.9958756293360946,178.84344983388218,9.94888312390205,1.165
2023-01-01 01:00:00,5.05029286601723,0.6198635024823879,224.52879258666266,19.955971778352026,1.1567177905567194
2023-01-01 02:00:00,7.3223868886616685,1.8074033222701615,175.54426049574982,21.462945804213703,1.149
2023-01-01 03:00:00,7.205789974021783,1.9018028145657535,225.3802034627345,21.010902141816096,1.1423725830020306
2023-01-01 04:00:00,5.570272917778692,0.8967135904815908,232.3354082590225,15.629488302534579,1.137287187078898
2023-01-01 05:00:00,6.698432951615728,1.5291883680249114,246.50743614928268,17.55749724935474,1.13409037355875
2023-01-01 06:00:00,6.215133126056201,1.1718322513176893,226.2410269764599,23.719805833174778,1.133
2023-01-01 07:00:00,4.951361243101552,0.5514526531217746,241.29708655112466,22.029030609156205,1.13409037355875
2023-01-01 08:00:00,4.194594395346065,0.3483745307176838,213.98835824550852,24.11019408498452,1.137287187078898
2023-01-01 09:00:00,7.685631217194397,2.227255873978704,195.79197974814286,20.452205374298668,1.1423725830020306
2023-01-01 10:00:00,7.074694914970646,1.502852111832976,183.5559397768099,18.534458103242997,1.149
2023-01-01 11:00:00,4.059513575879599,0.40911694611224375,162.81881328210497,9.79159964044397,1.1567177905567194
2023-01-01 12:00:00,8.018435287983174,2.722694542638124,171.17282416970295,17.467296935317854,1.165
2023-01-01 13:00:00,6.057702937797453,1.1173835475651364,174.5829105115278,10.982009084903112,1.1732822094432807
2023-01-01 14:00:00,7.189212344155987,1.7593820578604085,153.3373580783149,9.805382228842332,1.181
2023-01-01 15:00:00,8.496910408257953,2.93494362334102,152.13951684607648,6.133808621180172,1.1876274169979697
2023-01-01 16:00:00,10.4501424140655,3.0707542350934167,165.72643717742702,3.4505635778734502,1.1927128129211022
2023-01-01 17:00:00,11.508175478886116,2.974171133668488,126.183606850478,11.68900687418281,1.1959096264412503
2023-01-01 18:00:00,10.152093711318795,3.0868675271339177,181.80592996090613,9.386463084864666,1.197
2023-01-01 19:00:00,10.247986365501566,2.9825859282869756,151.63819779680335,9.708580115749848,1.1959096264412503
2023-01-01 20:00:00,9.777268656322335,3.171418346662434,137.09034237819557,7.422264915426388,1.1927128129211022
2023-01-01 21:00:00,12.494479241165882,3.1686596136022187,143.78815296209387,4.129378412610234,1.1876274169979697
2023-01-01 22:00:00,4.14574227358769,0.3097530884258016,137.33740086446298,17.306134267513414,1.181
2023-01-01 23:00:00,8.560266299710243,2.99189761632612,167.83880367264447,14.196322532970015,1.1732822094432809
2023-01-02 00:00:00,11.513329614944332,2.997763113812166,136.76807733522926,15.410367600230986,1.165
2023-01-02 01:00:00,8.674707743841852,2.999103367423626,216.76218053498462,15.993153293928936,1.1567177905567194
2023-01-02 02:00:00,9.415346272119912,2.9052570954939325,146.16778399965463,12.866331241187154,1.149
2023-01-02 03:00:00,2.1307718019489252,-0.06218816684304902,212.6548246207516,24.081530446322546,1.1423725830020306
2023-01-02 04:00:00,3.1551055943156605,0.27606643530069075,196.0913631438323,18.75509270956874,1.137287187078898
2023-01-02 05:00:00,6.268891957669391,1.2941150801102126,209.44308914453524,24.367114098899314,1.13409037355875
2023-01-02 06:00:00,8.131283696714,2.693518815400503,213.5569613415491,25.312501883370693,1.133
2023-01-02 07:00:00,2.739175968221511,0.09193016874058216,261.97918473224695,23.729879475932016,1.13409037355875
2023-01-02 08:00:00,4.440720467661257,0.6104670549723711,196.90612906089297,23.338123851271167,1.137287187078898
2023-01-02 09:00:00,6.403476316743367,1.2608695701732175,230.10499604927708,24.69521350518727,1.1423725830020306
2023-01-02 10:00:00,3.2433739250376092,0.2504172650121742,225.70803658534683,16.622753764501084,1.149
2023-01-02 11:00:00,7.865761400102161,2.202228713327314,144.87829302475149,17.564060130950683,1.1567177905567194
2023-01-02 12:00:00,2.2252706777479245,0.030034844216637567,167.69294466477135,14.324683785960495,1.165
2023-01-02 13:00:00,9.34423128564263,2.9844178944426183,198.0423248269006,7.41075249571353,1.1732822094432807
2023-01-02 14:00:00,7.128178273238652,1.7357861328344122,131.20453098561097,11.858999989601033,1.181
