时间,电力负荷,温度,湿度,是否工作日
2023-01-01 00:00:00,43.24821725025618,25.86247230125086,79.82058025709803,0
2023-01-01 01:00:00,50.308521978391404,21.070950338239395,74.63545858987396,0
2023-01-01 02:00:00,48.874530600778456,21.823277238830197,76.4989260275932,0
2023-01-01 03:00:00,61.71504564428223,31.516058019253272,81.43023590553902,0
2023-01-01 04:00:00,56.26385333046215,34.54801560943677,74.41956218533635,0
2023-01-01 05:00:00,89.44198481860334,29.670345278434223,62.62872259899452,0
2023-01-01 06:00:00,100.31205475362223,33.03438910622507,65.28098749881386,0
2023-01-01 07:00:00,105.12006594444412,33.683686009483324,59.60206290899138,0
2023-01-01 08:00:00,131.99245668432405,26.432801340229236,59.911075962285224,0
2023-01-01 09:00:00,145.18104043559296,25.61515030576187,58.55961540469447,0
2023-01-01 10:00:00,127.72567154553218,28.692623539464204,57.65629119197564,0
2023-01-01 11:00:00,141.21904352879127,27.643233287150736,53.86411718806616,0
2023-01-01 12:00:00,142.908576502127,21.688642580523066,60.26875232415223,0
2023-01-01 13:00:00,139.54726030336477,14.772366488468627,59.49089040084791,0
2023-01-01 14:00:00,152.2960186085394,20.961183335098326,49.55874402045574,0
2023-01-01 15:00:00,134.16707767159934,11.336019494698634,76.77775885718727,0
2023-01-01 16:00:00,123.15485158689388,10.334332618641259,74.5012984584985,0
2023-01-01 17:00:00,93.75232861105852,11.367755240578182,69.7847312276168,0
2023-01-01 18:00:00,107.25418030209227,14.662481262144322,74.25556361417442,0
2023-01-01 19:00:00,75.61646379633925,12.902669666765986,70.51483295015801,0
2023-01-01 20:00:00,76.5993263026633,12.584342463241345,86.6290388447263,0
2023-01-01 21:00:00,68.46843032025457,14.318797778488841,88.85874974102288,0
2023-01-01 22:00:00,71.40531576916459,15.130544005930394,80.73894953623694,0
2023-01-01 23:00:00,39.765504694355464,19.086228092530302,84.97785917299359,0
2023-01-02 00:00:00,36.641508091152346,12.41131976691709,79.96940816292644,1
2023-01-02 01:00:00,70.42883378244413,21.69836807381581,71.02244422053589,1
2023-01-02 02:00:00,91.6404712752472,25.723965804750343,73.73489568471462,1
2023-01-02 03:00:00,94.0207541194276,23.618025561006952,74.14674109918083,1
2023-01-02 04:00:00,94.13322380210687,29.819223991279067,68.66981121886764,1
2023-01-02 05:00:00,99.22931553791409,29.045844599932316,67.24049876058304,1
2023-01-02 06:00:00,125.2078556157337,35.26642709494647,65.381533846983,1
2023-01-02 07:00:00,120.39211990744197,34.37831743853525,63.222502823926874,1
2023-01-02 08:00:00,147.00020734292278,27.2628373304899,62.11086799681545,1
2023-01-02 09:00:00,157.69667030035424,26.61855467716539,55.32466840085968,1
2023-01-02 10:00:00,171.2399989135713,24.778157303174822,56.459438359355985,1
2023-01-02 11:00:00,193.2795213529248,21.23321202254634,53.71687271943329,1
2023-01-02 12:00:00,171.36078932114827,20.58507495208438,65.79610348017418,1
2023-01-02 13:00:00,160.693284706739,15.13696334231202,51.76569387588283,1
2023-01-02 14:00:00,160.5821567166626,11.608153995187426,69.97393918705171,1
2023-01-02 15:00:00,135.25120965979679,14.797065859835334,73.44464572099318,1
2023-01-02 16:00:00,135.68949833847003,13.228334714821047,67.54654725250204,1
2023-01-02 17:00:00,126.53475752335561,7.92779445812934,58.650549413105296,1
2023-01-02 18:00:00,112.49574567001467,12.686066292287798,72.35491555563497,1
2023-01-02 19:00:00,106.36922611457179,8.446008549613321,76.05218388030173,1
2023-01-02 20:00:00,84.61243032553861,12.099241676269559,73.0974333560274,1
2023-01-02 21:00:00,93.74159726327797,15.389964225971891,76.7962142981161,1
2023-01-02 22:00:00,74.63743010932065,14.899162305888858,87.60645688932108,1
2023-01-02 23:00:00,69.59733512352103,18.776032285398188,83.18484176357556,1
2023-01-03 00:00:00,68.61961107850729,18.450711068337284,74.47015369636632,1
2023-01-03 01:00:00,75.20417376777284,21.998790700740916,69.71807556693838,1
2023-01-03 02:00:00,86.94827070109089,24.38242170735898,74.15892594148406,1
2023-01-03 03:00:00,78.02191702720009,24.831332772244757,72.41981736856886,1
2023-01-03 04:00:00,90.5173933528839,28.12993154849704,73.42354574940144,1
2023-01-03 05:00:00,106.1703457007438,25.013403366299443,65.65718158491993,1
2023-01-03 06:00:00,108.73984900890432,28.526538758573686,68.39602951133789,1
2023-01-03 07:00:00,126.99693190154753,28.80463178278167,73.30266551355533,1
2023-01-03 08:00:00,142.5363495081899,27.89171478035825,65.92708065654935,1
2023-01-03 09:00:00,166.44778911009112,26.34657547425314,60.387251196188814,1
2023-01-03 10:00:00,168.32544172287766,24.814707400419614,59.128766749729195,1
2023-01-03 11:00:00,172.68074867176531,24.0265150052834,58.35642837703378,1
2023-01-03 12:00:00,181.00753786531618,22.623551222397566,66.8102302940039,1
2023-01-03 13:00:00,169.47113167409591,15.46251386842999,59.15736135532794,1
2023-01-03 14:00:00,169.8044769321473,11.39039743383257,64.432101015467,1
2023-01-03 15:00:00,156.9716797736389,9.802798951405219,66.76888824408438,1
2023-01-03 16:00:00,150.35218173763275,9.878137198570833,66.54852922335748,1
2023-01-03 17:00:00,129.8619239226467,9.284977783659789,64.80390711282128,1
2023-01-03 18:00:00,98.41038666087218,7.690011801407628,75.77634088355977,1
2023-01-03 19:00:00,108.56481436664738,6.452391744359632,76.06808482746891,1
2023-01-03 20:00:00,112.1260396046359,9.97138347973305,80.65162680285482,1
2023-01-03 21:00:00,96.85537320672505,13.473212048476437,76.70430473496148,1
2023-01-03 22:00:00,89.35126290032625,16.78508839750669,86.05958738906956,1
2023-01-03 23:00:00,87.11357414724523,15.73954038964982,75.47633704600764,1
2023-01-04 00:00:00,63.164250691965535,18.7610065335697,87.6531756883463,1
2023-01-04 01:00:00,66.00454054195372,19.808095524483274,68.96788886577423,1
2023-01-04 02:00:00,62.89988563878574,24.90568248887567,77.96786285231737,1
2023-01-04 03:00:00,73.91160716275328,24.52578190929303,75.86425467795416,1
2023-01-04 04:00:00,93.63538628006258,30.379637477567986,66.96476447288045,1
2023-01-04 05:00:00,111.62556689891328,24.30165878708835,70.45573483706328,1
2023-01-04 06:00:00,111.18321202554117,28.921110982642613,72.23612498332938,1
2023-01-04 07:00:00,121.06673438896308,30.56258028046591,52.54280111648386,1
2023-01-04 08:00:00,137.68295437091714,29.211757586811903,64.3632995817821,1
2023-01-04 09:00:00,154.09508133096972,35.15016880380696,48.16133963119229,1
2023-01-04 10:00:00,141.6403968102377,26.049400073703723,55.216195087379624,1
