时间,车流量,平均车速,拥堵指数,天气
2023-01-01 00:00:00,607,52.52749671430699,0.0955345346834571,晴
2023-01-01 01:00:00,588,48.84230733900691,0.18139640822866285,晴
2023-01-01 02:00:00,492,51.002741829959156,0.12386613255114452,阴
2023-01-01 03:00:00,497,59.912930688594365,0.04267480472777299,阴
2023-01-01 04:00:00,598,55.75133403099905,0.22076354511309576,阴
2023-01-01 05:00:00,495,58.677644355938384,0.2727636015650099,晴
2023-01-01 06:00:00,589,66.12901771956649,0.2515423666248206,雨
2023-01-01 07:00:00,543,55.801362652758016,0.2974626490246621,雨
2023-01-01 08:00:00,623,60.05435563994056,0.3685607188419474,晴
2023-01-01 09:00:00,576,57.25924658258184,0.19195130217940273,晴
2023-01-01 10:00:00,1130,68.15971325235274,0.7169813552032545,晴
2023-01-01 11:00:00,1460,37.60911208256125,0.5496707338897612,晴
2023-01-01 12:00:00,1483,48.99287239584105,0.5722521953594989,晴
2023-01-01 13:00:00,1494,55.796912558816835,0.5270945313003679,晴
2023-01-01 14:00:00,1501,48.726440544573244,0.6552615463554322,晴
2023-01-01 15:00:00,1182,56.91595145299822,0.44410216478643716,晴
2023-01-01 16:00:00,1409,52.65451162313353,0.5557181707991429,晴
2023-01-01 17:00:00,581,61.415723637969734,0.21220034354447947,雨
2023-01-01 18:00:00,374,52.4674189122091,0.1269669001295215,晴
2023-01-01 19:00:00,680,57.461283575447936,0.28806284115056463,阴
2023-01-01 20:00:00,474,59.955785401408356,0.14492210458902188,晴
2023-01-01 21:00:00,642,57.44574739823607,0.2167263132339396,晴
2023-01-01 22:00:00,538,58.05686915819686,0.322500610374706,晴
2023-01-01 23:00:00,356,64.23209884520726,0.11305220830710148,晴
2023-01-02 00:00:00,826,47.46984041317293,0.36880570871491986,晴
2023-01-02 01:00:00,844,56.40045503767441,0.24900129925387637,晴
2023-01-02 02:00:00,966,49.119554555807646,0.3423073796683893,晴
2023-01-02 03:00:00,928,59.14428931707226,0.24824517315567585,阴
2023-01-02 04:00:00,776,51.930037911678966,0.49586687745397917,晴
2023-01-02 05:00:00,1021,42.52787564421028,0.5463376529922435,阴
2023-01-02 06:00:00,900,59.40726250645086,0.4195518645107796,晴
2023-01-02 07:00:00,2172,47.79801087577769,1.0839208843831805,阴
2023-01-02 08:00:00,2464,49.460538024183194,1.0628374096442983,晴
2023-01-02 09:00:00,1978,57.24069019239194,0.7743507713233876,阴
2023-01-02 10:00:00,910,57.30203976965898,0.40164921950934246,雨
2023-01-02 11:00:00,948,56.10499457600802,0.5154503030308519,雨
2023-01-02 12:00:00,923,55.145118445518904,0.28145075516591855,晴
2023-01-02 13:00:00,1115,48.683798307197996,0.32909176319789957,阴
2023-01-02 14:00:00,860,54.6235890330112,0.3846216507839411,晴
2023-01-02 15:00:00,1065,64.5433235418328,0.36740857467553484,雨
2023-01-02 16:00:00,1056,52.843548384787205,0.19643830041761676,晴
2023-01-02 17:00:00,1937,49.53115794141044,0.6508085662268062,晴
2023-01-02 18:00:00,2204,55.263543696306755,0.850608026202243,晴
2023-01-02 19:00:00,1697,43.806903574527354,0.6837511251518188,晴
2023-01-02 20:00:00,882,58.68649927846466,0.3609265880439314,阴
2023-01-02 21:00:00,936,47.375567703619254,0.5749222498119843,雨
2023-01-02 22:00:00,860,57.69475957005471,0.32333219547809783,阴
2023-01-02 23:00:00,862,55.574062689696035,0.3729237544186471,阴
2023-01-03 00:00:00,936,58.37935773604438,0.21202224269820505,阴
2023-01-03 01:00:00,884,50.51610027979369,0.3506086757232212,晴
2023-01-03 02:00:00,871,52.9667947671742,0.3820630790666125,晴
