尺寸精度,表面光洁度,硬度,强度,耐腐蚀性,韧性,密度,弹性模量,质量等级
0.7090998907629127,0.45963837889281894,49.66917401075468,265.63269437406495,0.5829637125910215,56.88741973967837,7.382605802795907,152.41144851343543,差
0.9741802039780199,0.8099964382799131,61.522461008400725,400.81894995130455,0.7931987645686758,83.8173439111368,7.849196898563742,200.94594448488087,良好
0.5983005318927366,0.4549087071405987,48.14684437294069,277.2973312926908,0.5751537302289342,38.05564716511864,7.305166514365555,197.02325395371673,差
0.9550951537271714,0.8001603008961543,49.121176986615616,370.34223875752105,0.9125330309075195,72.13372029130396,7.745662436637956,221.3268967503904,中等
0.8476505480011232,0.8113240940208075,60.07039279343367,388.89148998527173,0.8483736043903564,57.418535687055886,7.701364389055819,197.15050000861598,中等
0.635838068269248,0.7017531423930626,44.52874326794891,299.1956717106864,0.2807306205070198,26.401805906574392,7.490857849070834,208.8125946759788,差
0.8593391669966429,0.795492941161344,47.29657882674506,405.40061455272996,0.7421409204031181,84.77239592974456,7.883622274855587,180.02376657952846,中等
0.9987281708317833,0.9112717334152032,64.31917260158623,475.77048326759706,0.9277577671432679,84.43218717604775,7.810648186053335,199.42163381389764,优等品
0.9827104074996683,0.9266187402421965,70.90075088752477,483.23612543345126,0.9092443099914755,91.4279111718084,7.823554181044767,218.06676402164362,优等品
0.9151047922478939,0.8730832358991811,54.407382578941835,474.2205460449666,0.734358548180374,70.62118936750466,7.73994985424186,205.6995604984895,良好
0.9870213319504314,0.9589362857307153,59.492693731468734,480.1749729256956,0.9796793267738131,96.04927832874232,7.899910882798586,218.9579621823593,优等品
0.7347770989425886,0.5819192554912773,52.359432022281034,260.0636379249947,0.548416534767872,67.58412439412102,7.524154093110273,145.9183485132525,差
0.8739828645803269,0.8260285379616101,55.03144762718924,390.8277369189103,0.7748305475735984,73.10252222405019,7.498234772994168,201.57364698992967,中等
0.7822799039479773,0.601899908225987,52.20715195495441,370.7240769484872,0.5613113693387,58.31214389769123,7.368408374466898,153.3060266645007,差
0.8826759458983772,0.8448731018092558,42.11547075579059,283.8391856895124,0.805012848121788,64.17221598290442,7.5429579042813035,167.10943124269048,中等
