日期,温度,湿度,气压,风速
2023-01-01,15.993428306022466,77.25295250977666,1017.198066309758,6.5567221523332755
2023-01-02,14.905604959215978,82.30678411971078,1016.8134595028271,6.243123014747022
2023-01-03,16.659593192428844,65.90071821874739,1015.2125743251396,6.288385969700857
2023-01-04,18.592256385048586,75.83843680284437,1013.9981159283457,6.29490230253077
2023-01-05,15.259717518576526,69.89655313435814,1018.8103940682277,3.357979537597469
2023-01-06,15.441374073476105,70.83641786226454,1018.5105831751874,1.1687601647999788
2023-01-07,19.249442605489133,70.42842116771156,1020.440862241559,4.0472804475093405
2023-01-08,17.806949907299344,69.18481508654567,1019.8781248818873,6.9106104171410205
2023-01-09,15.513838949262743,73.85775346621553,1021.1212676227995,7.522308219987784
2023-01-10,17.71820829381474,69.5667366745837,1016.149576946794,10.879843898655995
2023-01-11,15.886096056189851,75.17604734287748,1021.2823092158252,4.0182729890856645
2023-01-12,16.06080759129193,73.67075234469046,1017.3085229414642,3.3110298640878955
2023-01-13,17.65496954181826,72.82125696342294,1022.1647088793381,0.6415716222489196
2023-01-14,13.52265464072606,69.56807995090615,1012.9661197611103,1.078567681550207
2023-01-15,14.076891995033435,71.30776278954666,1019.2474498635846,4.8346386283145995
2023-01-16,16.578957892679924,78.05009146967025,1013.593732350388,7.101999430637518
2023-01-17,15.85391933467221,76.85500773877564,1010.0061875350679,10.951683223029733
2023-01-18,18.68331899399664,69.53567969708624,1009.514659282458,7.563274586462226
2023-01-19,16.413164095520468,74.9888775873773,1009.1000318139546,1.6499751339889177
2023-01-20,15.578089214253062,78.31361745985599,1010.5567737118188,5.7834013961229065
2023-01-21,21.50652653378424,66.26980776116709,1010.2383794451843,5.096572943646615
2023-01-22,18.295208620790646,77.38945616902977,1006.5236174067085,6.16419540693723
2023-01-23,19.05230183828258,71.4110096283573,1007.9543267463756,6.892526249704417
2023-01-24,16.23713769000916,77.62423190498431,1014.4542015989942,6.005905263098512
2023-01-25,18.166114443009363,70.99767588146253,1013.4273469288264,5.557237665210571
2023-01-26,19.6437812055429,65.82790456349332,1009.9788439900999,5.8758460220557005
2023-01-27,17.285768770659704,66.74854521854742,1009.3982863071177,5.844388875323746
2023-01-28,20.503689454095447,75.15621336307572,1010.4211677186925,5.740992609140287
2023-01-29,18.7142253291909,76.23951249010172,1012.8068707028123,4.022301156427449
2023-01-30,19.49395090157133,70.44000089658222,1008.8920638503159,5.106259580826065
2023-01-31,19.03434227714098,78.17079691635789,1012.2278703877299,8.206556230367882
2023-02-01,24.10126580753892,66.68204665584622,1009.0338062324561,2.7647724862269745
2023-02-02,20.527161624179634,74.66661856277496,1016.2313525831948,4.344684211016891
2023-02-03,18.594629857471194,68.9448632060558,1017.8805140805706,1.7800110908571924
2023-02-04,22.509442955882573,71.73924550752061,1015.2661647404888,1.7224325488594308
2023-02-05,18.575330262969132,75.22945688744667,1022.0520873087924,1.8105938654664055
2023-02-06,21.58572992454752,70.67999159826998,1014.0779855924687,8.372694660543521
2023-02-07,17.397926621848082,73.0444360901152,1013.5794848362119,6.859382057221649
2023-02-08,18.8083966033544,79.97939813543992,1018.6459649325213,3.9618175459321017
2023-02-09,22.004189956146924,72.03976562438184,1020.8965774893122,2.0461756439159693
2023-02-10,23.231256168892596,79.07455404500281,1022.3819100932958,2.020186453353258
2023-02-11,22.239032172729754,69.215013690085,1015.3390713387801,6.199008745935396
2023-02-12,21.8050496176463,77.47561894160229,1019.1749687617563,8.322518429095735
