soc,price,load,dispatch_action,reward,next_soc,next_price,next_load
0.55,0.2284360201275337,0.7668681861574348,-0.4,-0.1313744080510135,0.5820000000000001,0.20851854342773293,0.7017638090205041
0.5820000000000001,0.21557108750607637,0.7591524532524566,-0.4,-0.12622843500243056,0.6140000000000001,0.2,0.65
0.6140000000000001,0.19247575792433072,0.6347868415871528,-0.4,-0.1169903031697323,0.6460000000000001,0.20851854342773293,0.5982361909794958
0.6460000000000001,0.2034392898667773,0.5869019949967476,-0.4,-0.12137571594671094,0.6780000000000002,0.23349364905389036,0.55
0.6780000000000002,0.1988294669897107,0.575860001512364,-0.4,-0.1195317867958843,0.7100000000000002,0.2732233047033631,0.5085786437626905
0.7100000000000002,0.28076226041727054,0.47476900645666453,-0.39042505603162253,-0.1486591268581401,0.74123400448253,0.325,0.47679491924311224
0.74123400448253,0.3499126992034375,0.5055826350156144,-0.4,-0.179965079681375,0.77323400448253,0.3852952387243698,0.4568148347421863
0.77323400448253,0.4018776601456909,0.46896048737125756,-0.4,-0.20075106405827636,0.80523400448253,0.45,0.45
0.80523400448253,0.4495140523245837,0.46093603467099786,-0.25211236140799087,-0.13853928535842505,0.8254029933951693,0.5147047612756301,0.4568148347421863
0.8254029933951693,0.5182499886146072,0.4655517772476077,-0.11926684218156978,-0.07373672382085568,0.8349443407696949,0.575,0.4767949192431123
0.8349443407696949,0.5995206781982135,0.39078327062963,-0.09454638306031972,-0.06613714999954293,0.8425080514145205,0.6267766952966369,0.5085786437626905
0.8425080514145205,0.6234836747457579,0.4560156865808813,-0.04407177610136381,-0.031885210526386966,0.8460337935026295,0.6665063509461097,0.55
0.8460337935026295,0.6914815063943198,0.5174029642122824,0.06721527172386975,0.03975659017193801,0.84065657176472,0.6914814565722671,0.5982361909794959
0.84065657176472,0.6731649870263383,0.5780788302691056,0.10109190483623327,0.05794234032392748,0.8325692193778214,0.7,0.65
0.8325692193778214,0.6891488435977634,0.6638663746703187,-0.03589301590866133,-0.028324931997556212,0.8354406606505143,0.6914814565722671,0.7017638090205042
0.8354406606505143,0.7287278078001647,0.7198433824096991,0.10561419104732253,0.06640257880977087,0.8269915253667285,0.6665063509461097,0.75
0.8269915253667285,0.6780172811461076,0.7077054171315657,0.10455923851341148,0.060437046764229486,0.8186267862856555,0.6267766952966369,0.7914213562373096
0.8186267862856555,0.6202969997867084,0.7852992707858566,-0.05903871009673606,-0.04252540575395623,0.8233498830933944,0.575,0.8232050807568878
0.8233498830933944,0.5633869719450882,0.84404519910574,-0.11080410605187199,-0.0735060003928338,0.8322142115775442,0.5147047612756303,0.8431851652578137
0.8322142115775442,0.5277397241036911,0.8429213245732465,-0.15850179255263963,-0.09949787152693448,0.8448943549817554,0.45000000000000007,0.8500000000000001
0.8448943549817554,0.4416230251214993,0.9168919552422865,-0.4,-0.21664921004859974,0.8768943549817554,0.38529523872436994,0.8431851652578137
0.8768943549817554,0.41051398519562965,0.8842223887794428,-0.4,-0.20420559407825187,0.9088943549817554,0.32499999999999996,0.8232050807568878
0.9088943549817554,0.3695854722111194,0.8530697892452473,-0.4,-0.18783418888444778,0.9408943549817554,0.27322330470336315,0.7914213562373096
0.9408943549817554,0.2737837484438807,0.7849045714907493,-0.4,-0.1495134993775523,0.95,0.2334936490538904,0.75
0.95,0.24130426098028068,0.7920355882510168,-0.4,-0.13652170439211228,0.95,0.20851854342773293,0.7017638090205041
0.95,0.1902896709649871,0.7264966208920535,-0.4,-0.11611586838599486,0.95,0.2,0.65
0.95,0.21309319056895573,0.6723649671957495,-0.4,-0.1252372762275823,0.95,0.20851854342773293,0.5982361909794958
0.95,0.18993876008512134,0.5721903880602723,-0.4,-0.11597550403404855,0.95,0.23349364905389036,0.55
0.95,0.23823262128480935,0.5474965365032023,-0.4,-0.13529304851392376,0.95,0.2732233047033631,0.5085786437626905
0.95,0.2141109282164617,0.4711591196718654,-0.4,-0.12564437128658468,0.95,0.325,0.47679491924311224
0.95,0.3117074799987374,0.48761266957281746,-0.4,-0.16468299199949496,0.95,0.3852952387243698,0.4568148347421863
0.95,0.41406934837155446,0.45249400494054604,-0.4,-0.2056277393486218,0.95,0.45,0.45
0.95,0.4965155958376337,0.4954932030176821,-0.3405548873079023,-0.20314630151789154,0.95,0.5147047612756301,0.4568148347421863
0.95,0.502840357578223,0.4470484843966004,-0.2902445512088387,-0.17497112903586717,0.95,0.575,0.4767949192431123
0.95,0.5728955173149826,0.4649375948930081,-0.137297661492074,-0.0923869809558465,0.95,0.6267766952966369,0.5085786437626905
0.95,0.6244924974610802,0.5775663165538101,-0.12872412562077107,-0.09325966325448624,0.95,0.6665063509461097,0.55
0.95,0.7022127188306042,0.5607195826813188,0.031467106908378756,0.018949892005028057,0.9474826314473297,0.6914814565722671,0.5982361909794959
0.9474826314473297,0.6769892355419126,0.5726234143018736,-0.029516954094245474,-0.022934355597213518,0.9498439877748693,0.7,0.65
0.9498439877748693,0.7197710648493063,0.6512076950600139,-0.05453825970012087,-0.044708887229396095,0.95,0.6914814565722671,0.7017638090205042
0.95,0.6642762892464805,0.6589497169549169,-0.16196667177724822,-0.12378728688751793,0.95,0.6665063509461097,0.75
0.95,0.6686960581350514,0.7837513176512407,-0.0676267021436633,-0.05198437936250721,0.95,0.6267766952966369,0.7914213562373096
0.95,0.5815684001498799,0.7856985424272731,-0.2057873496068105,-0.14025815464259783,0.95,0.575,0.8232050807568878
0.95,0.6169199750045088,0.7794909433693011,-0.16415391762319656,-0.11768522251931426,0.95,0.5147047612756303,0.8431851652578137
0.95,0.5488218148865215,0.8566845154982101,-0.21860162399439648,-0.1418335024171853,0.95,0.45000000000000007,0.8500000000000001
0.95,0.45229168874047765,0.8598983061597181,-0.3526819903753567,-0.19478333205275863,0.95,0.38529523872436994,0.8431851652578137
0.95,0.3691055123465146,0.8695269226250597,-0.4,-0.18764220493860587,0.95,0.32499999999999996,0.8232050807568878
0.95,0.33156735945663074,0.8285673096554776,-0.4,-0.1726269437826523,0.95,0.27322330470336315,0.7914213562373096
0.95,0.27276959919685023,0.772745151657343,-0.4,-0.1491078396787401,0.95,0.2334936490538904,0.75
0.95,0.22642135422161744,0.7168803409388501,-0.4,-0.13056854168864698,0.95,0.20851854342773293,0.7017638090205041
